41,S-PHM53,603655,605651,1.575829 ,1.580921 ,1.586338 ,1.591032 ,1.592559 ,1.595189 ,1.596966 ,1.598584 ,1.600189 ,1.600637 ,1.601056 ,1.602919 ,1.603001 ,1.605200 ,1.609404 ,1.609926 ,1.613722 ,1.614381 ,1.618495 ,1.625471 ,0,0,0,0.03,0.10,0.25,0.45,0.64,0.78,0.88,0.935,0.963,0.977,0.986,0.987,0.989,0.992,0.994,0.998,0.997,0.996,0.996,0.997,0.997,0.996,0.997,0.993,0.987,0.967,0.941,0.87,0.83
42,S-TIL 1,548458,551455,1.517972 ,1.523073 ,1.528609 ,1.533648 ,1.535370 ,1.538442 ,1.540584 ,1.542570 ,1.544572 ,1.545135 ,1.545664 ,1.548036 ,1.548141 ,1.550984 ,1.556544 ,1.557247 ,1.562436 ,1.563351 ,1.569184 ,1.579587 ,0,0,0,0,0,0,0.01,0.29,0.69,0.87,0.944,0.972,0.984,0.992,0.994,0.995,0.996,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.996,0.993,0.977,0.948,0.89,0.85
43,S-TIL 2,541472,543469,1.511176 ,1.516261 ,1.521761 ,1.526724 ,1.528406 ,1.531389 ,1.533458 ,1.535372 ,1.537297 ,1.537838 ,1.538345 ,1.540619 ,1.540720 ,1.543440 ,1.548746 ,1.549415 ,1.554348 ,1.555216 ,1.560737 ,1.570524 ,0,0,0,0,0,0,0.04,0.32,0.66,0.84,0.925,0.962,0.979,0.990,0.994,0.995,0.996,0.997,0.998,0.998,0.997,0.998,0.999,0.998,0.997,0.997,0.997,0.995,0.987,0.970,0.942,0.917
44,S-TIL 6,532489,534485,1.502923 ,1.507971 ,1.513421 ,1.518293 ,1.519927 ,1.522804 ,1.524789 ,1.526620 ,1.528456 ,1.528972 ,1.529455 ,1.531621 ,1.531717 ,1.534304 ,1.539343 ,1.539978 ,1.544651 ,1.545473 ,1.550689 ,1.559891 ,0,0,0,0,0,0,0.07,0.44,0.74,0.88,0.948,0.973,0.985,0.990,0.989,0.990,0.991,0.993,0.994,0.994,0.992,0.996,0.998,0.997,0.997,0.996,0.995,0.993,0.977,0.947,0.89,0.85
45,S-TIL25,581407,585405,1.547413 ,1.552919 ,1.558952 ,1.564559 ,1.566513 ,1.570047 ,1.572537 ,1.574862 ,1.577216 ,1.577881 ,1.578505 ,1.581314 ,1.581439 ,1.584822 ,1.591486 ,1.592332 ,1.598613 ,1.599726 ,1.606866 ,1.619792 ,0,0,0,0,0,0,0,0.01,0.28,0.65,0.85,0.929,0.964,0.986,0.991,0.993,0.994,0.995,0.998,0.998,0.997,0.998,0.999,0.999,0.998,0.998,0.994,0.994,0.981,0.963,0.911,0.89
46,S-TIL26,567428,570425,1.534928 ,1.540278 ,1.546109 ,1.551475 ,1.553331 ,1.556667 ,1.559007 ,1.561186 ,1.563386 ,1.564007 ,1.564589 ,1.567206 ,1.567322 ,1.570466 ,1.576636 ,1.577418 ,1.583205 ,1.584229 ,1.590775 ,1.602558 ,0,0,0,0,0,0,0,0.07,0.44,0.74,0.88,0.945,0.971,0.989,0.993,0.995,0.995,0.997,0.998,0.998,0.997,0.998,0.999,0.998,0.998,0.998,0.995,0.993,0.977,0.950,0.89,0.86
47,S-TIL27,575415,578412,1.541618 ,1.547072 ,1.553037 ,1.558554 ,1.560469 ,1.563921 ,1.566349 ,1.568613 ,1.570902 ,1.571549 ,1.572155 ,1.574885 ,1.575006 ,1.578291 ,1.584756 ,1.585577 ,1.591666 ,1.592745 ,1.599663 ,1.612185 ,0,0,0,0,0,0,0,0.05,0.44,0.78,0.913,0.961,0.979,0.990,0.993,0.994,0.995,0.996,0.998,0.998,0.998,0.998,0.999,0.999,0.998,0.998,0.994,0.993,0.978,0.955,0.89,0.87
48,S-TIM 1,626357,630354,1.587695 ,1.593374 ,1.599700 ,1.605829 ,1.608050 ,1.612162 ,1.615115 ,1.617901 ,1.620743 ,1.621549 ,1.622306 ,1.625729 ,1.625882 ,1.630031 ,1.638275 ,1.639329 ,1.647201 ,1.648607 ,1.657693 ,1.674539 ,0,0,0,0,0,0,0,0,0.09,0.47,0.76,0.89,0.945,0.977,0.984,0.987,0.990,0.992,0.997,0.997,0.996,0.997,0.998,0.998,0.998,0.998,0.993,0.993,0.980,0.965,0.917,0.89
49,S-TIM 2,620363,624360,1.582398 ,1.588056 ,1.594349 ,1.600413 ,1.602598 ,1.606633 ,1.609524 ,1.612248 ,1.615024 ,1.615811 ,1.616551 ,1.619892 ,1.620041 ,1.624088 ,1.632123 ,1.633150 ,1.640810 ,1.642176 ,1.650998 ,1.667281 ,0,0,0,0,0,0,0,0,0.08,0.44,0.73,0.87,0.942,0.978,0.987,0.990,0.992,0.994,0.997,0.997,0.996,0.997,0.999,0.999,0.999,0.999,0.995,0.995,0.984,0.971,0.930,0.914
50,S-TIM 3,613370,617367,1.575891 ,1.581542 ,1.587810 ,1.593807 ,1.595953 ,1.599898 ,1.602715 ,1.605365 ,1.608062 ,1.608826 ,1.609544 ,1.612785 ,1.612929 ,1.616851 ,1.624626 ,1.625618 ,1.633018 ,1.634336 ,1.642842 ,1.658503 ,0,0,0,0,0,0,0,0,0.13,0.53,0.79,0.907,0.950,0.976,0.984,0.986,0.989,0.992,0.996,0.996,0.995,0.997,0.999,0.998,0.996,0.996,0.994,0.994,0.983,0.971,0.929,0.913
